numofNodes: 16
numofPeriods: 9
VehicleNum: 4
VehicleCapacity: 840
Node	X    Y      InvCost  	 InitialInv  	MinLevelInv	MaxLevelInv	Demand0     Demand1     Demand2     Demand3     Demand4     Demand5     Demand6     Demand7     Demand8     
0	300	199	0.22	908	0	3594	823	785	661	652	840	729	800	743	787	
1	153	223	0.67	81	0	273	68	49	15	91	45	69	47	18	20	
2	317	360	0.55	60	0	300	33	28	100	32	16	68	39	88	41	
3	301	174	0.63	39	0	198	70	32	73	19	10	54	16	29	99	
4	319	299	0.7	57	0	190	66	94	32	18	81	23	76	85	95	
5	132	482	0.61	55	0	186	67	26	51	24	93	14	55	36	59	
6	487	61	0.51	38	0	194	97	90	60	33	17	96	44	46	95	
7	173	69	0.57	51	0	258	42	27	53	15	86	70	52	26	46	
8	53	338	0.55	31	0	156	78	77	38	26	35	41	51	17	41	
9	185	364	0.69	55	0	186	24	20	74	53	27	39	33	93	78	
10	102	478	0.71	88	0	294	11	44	23	10	98	64	70	75	17	
11	185	175	0.7	60	0	300	39	13	32	97	100	19	92	47	31	
12	299	187	0.55	81	0	273	62	91	24	52	62	10	41	53	91	
13	287	26	0.76	85	0	285	59	36	24	94	53	56	95	20	19	
14	127	208	0.52	82	0	276	92	83	40	32	91	81	28	56	21	
15	490	194	0.59	45	0	225	15	75	22	56	26	25	61	54	34	
CostMatrix
0 148 161 25 101 329 232 181 283 201 342 117 12 173 173 190 
148 0 213 155 182 259 371 155 152 144 260 57 150 238 30 338 
161 213 0 186 61 221 343 324 264 132 245 227 173 335 243 239 
25 155 186 0 126 351 217 165 297 222 363 116 13 148 177 190 
101 182 61 126 0 261 291 272 268 148 281 182 113 274 212 200 
329 259 221 351 261 0 550 415 164 129 30 311 338 481 274 459 
232 371 343 217 291 550 0 314 514 427 567 322 226 203 388 133 
181 155 324 165 272 415 314 0 294 295 415 106 172 121 146 340 
283 152 264 297 268 164 514 294 0 134 148 209 288 390 149 460 
201 144 132 222 148 129 427 295 134 0 141 189 210 353 166 349 
342 260 245 363 281 30 567 415 148 141 0 314 351 488 271 480 
117 57 227 116 182 311 322 106 209 189 314 0 114 180 66 305 
12 150 173 13 113 338 226 172 288 210 351 114 0 161 173 191 
173 238 335 148 274 481 203 121 390 353 488 180 161 0 242 263 
173 30 243 177 212 274 388 146 149 166 271 66 173 242 0 363 
190 338 239 190 200 459 133 340 460 349 480 305 191 263 363 0 
